1,Bernd Leno,Goalkeeper,Mar 04 1992
26,Emiliano Martínez,Goalkeeper,Sep 02 1992
-,Dejan Iliev,Goalkeeper,Feb 25 1995
33,Matt Macey,Goalkeeper,Sep 09 1994
4,William Saliba,Centre-Back,Mar 24 2001
20,Shkodran Mustafi,Centre-Back,Apr 17 1992
21,Calum Chambers,Centre-Back,Jan 20 1995
16,Rob Holding,Centre-Back,Sep 20 1995
5,Sokratis,Centre-Back,Jun 09 1988
23,David Luiz,Centre-Back,Apr 22 1987
22,Pablo Marí,Centre-Back,Aug 31 1993
3,Kieran Tierney,Left-Back,Jun 05 1997
31,Sead Kolasinac,Left-Back,Jun 20 1993
2,Héctor Bellerín,Right-Back,Mar 19 1995
15,Ainsley Maitland-Niles,Right-Back,Aug 29 1997
17,Cédric Soares,Right-Back,Aug 31 1991
11,Lucas Torreira,Defensive Midfield,Feb 11 1996
34,Granit Xhaka,Defensive Midfield,Sep 27 1992
-,Mohamed Elneny,Defensive Midfield,Jul 11 1992
29,Mattéo Guendouzi,Central Midfield,Apr 14 1999
28,Joe Willock,Central Midfield,Aug 20 1999
10,Mesut Özil,Attacking Midfield,Oct 15 1988
7,Bukayo Saka,Left Winger,Sep 05 2001
35,Gabriel Martinelli,Left Winger,Jun 18 2001
19,Nicolas Pépé,Right Winger,May 29 1995
24,Reiss Nelson,Right Winger,Dec 10 1999
14,Pierre-Emerick Aubameyang,Centre-Forward,Jun 18 1989
9,Alexandre Lacazette,Centre-Forward,May 28 1991
30,Eddie Nketiah,Centre-Forward,May 30 1999
8,Dani Ceballos,Centre Midfield,Aug 07 1996
-,Emile Smith-Rowe,Attacking Midfield,Jul 28 2000