,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,25.9,3,1,1,23,4,3,17.4,0.89,0.15,0.09,0.50,1.9,1.2,0.05,+1.1,+0.8,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,32.0,0,0,0,14,4,0,28.6,0.44,0.12,0.00,0.00,0.5,0.5,0.04,-0.5,-0.5,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,23.1,14,0,0,80,32,0,40.0,3.47,1.39,0.18,0.44,14.0,14.0,0.18,0.0,0.0,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,9.2,1,0,0,23,4,0,17.4,2.51,0.44,0.04,0.25,2.4,2.4,0.10,-1.4,-1.4,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,16,2,3,73,25,0,34.2,4.52,1.55,0.19,0.56,14.2,11.9,0.16,+1.8,+2.1,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,0,0,0,3,0,0,0.0,1.94,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,26.4,2,0,0,24,7,0,29.2,0.91,0.27,0.08,0.29,2.6,2.6,0.11,-0.6,-0.6,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,8.7,0,0,0,9,2,0,22.2,1.04,0.23,0.00,0.00,0.5,0.5,0.06,-0.5,-0.5,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,27.9,1,0,0,12,4,0,33.3,0.43,0.14,0.08,0.25,0.8,0.8,0.06,+0.2,+0.2,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,33.0,3,0,0,40,10,11,25.0,1.21,0.30,0.08,0.30,2.6,2.6,0.07,+0.4,+0.4,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,24.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.4,8,1,1,39,18,0,46.2,1.91,0.88,0.18,0.39,7.1,6.3,0.16,+0.9,+0.7,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,25,1994,29.9,4,0,0,49,15,0,30.6,1.64,0.50,0.08,0.27,6.2,6.2,0.13,-2.2,-2.2,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,12.5,4,0,0,24,7,1,29.2,1.91,0.56,0.17,0.57,1.8,1.8,0.07,+2.2,+2.2,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,0,0,0,13,3,0,23.1,0.98,0.23,0.00,0.00,1.1,1.1,0.09,-1.1,-1.1,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,0,0,0,6,1,0,16.7,0.71,0.12,0.00,0.00,1.0,1.0,0.17,-1.0,-1.0,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,1,0,0,23,8,0,34.8,1.39,0.48,0.04,0.13,2.5,2.5,0.11,-1.5,-1.5,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,1,0,0,1,1,0,100.0,1.23,1.23,1.00,1.00,0.2,0.2,0.15,+0.8,+0.8,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,0,0,0,5,0,0,0.0,1.06,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,0,0,0,1,0,0,0.0,4.50,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,29,1990,16.4,4,0,0,52,22,0,42.3,3.16,1.34,0.08,0.18,7.2,7.2,0.14,-3.2,-3.2,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,15.9,4,0,0,40,17,0,42.5,2.52,1.07,0.10,0.24,2.7,2.7,0.07,+1.3,+1.3,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,30.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,0,0,0,5,1,0,20.0,0.60,0.12,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,31.5,20,1,1,82,37,1,45.1,2.61,1.18,0.23,0.51,14.5,13.7,0.17,+5.5,+5.3,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,25.0,1,0,0,12,4,0,33.3,0.48,0.16,0.08,0.25,0.5,0.5,0.04,+0.5,+0.5,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,31.3,9,0,0,52,23,0,44.2,1.66,0.74,0.17,0.39,6.3,6.3,0.12,+2.7,+2.7,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,31.9,2,0,0,24,6,0,25.0,0.75,0.19,0.08,0.33,2.6,2.6,0.11,-0.6,-0.6,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,3.8,0,0,0,1,0,1,0.0,0.27,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.0,1,0,0,10,4,0,40.0,0.77,0.31,0.10,0.25,1.7,1.7,0.17,-0.7,-0.7,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,34.0,2,0,0,12,5,0,41.7,0.35,0.15,0.17,0.40,0.7,0.7,0.05,+1.3,+1.3,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,17.0,0,0,0,10,4,0,40.0,0.59,0.24,0.00,0.00,0.2,0.2,0.02,-0.2,-0.2,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,11.1,1,0,0,37,11,3,29.7,3.33,0.99,0.03,0.09,2.2,2.2,0.06,-1.2,-1.2,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.0,6,1,1,39,11,0,28.2,2.60,0.73,0.13,0.45,5.4,4.6,0.12,+0.6,+0.4,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MF,Leicester City,21,1997,21.0,6,0,0,55,22,0,40.0,2.62,1.05,0.11,0.27,7.1,7.1,0.13,-1.1,-1.1,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,32.8,0,0,0,6,0,0,0.0,0.18,0.00,0.00,,0.6,0.6,0.09,-0.6,-0.6,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,1,0,0,15,2,0,13.3,5.65,0.75,0.07,0.50,2.2,2.2,0.15,-1.2,-1.2,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,31.0,1,0,0,6,1,0,16.7,0.19,0.03,0.17,1.00,1.0,1.0,0.16,0.0,0.0,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,11.9,1,0,0,6,2,0,33.3,0.50,0.17,0.17,0.50,0.4,0.4,0.06,+0.6,+0.6,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,1.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,5.7,0,0,0,2,0,0,0.0,0.35,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,13.0,2,0,0,35,16,0,45.7,2.69,1.23,0.06,0.13,4.4,4.4,0.13,-2.4,-2.4,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,4.5,1,0,0,9,2,2,22.2,2.02,0.45,0.11,0.50,0.6,0.6,0.07,+0.4,+0.4,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,7.3,1,0,0,5,2,0,40.0,0.69,0.27,0.20,0.50,0.4,0.4,0.08,+0.6,+0.6,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,6.3,3,0,0,9,4,0,44.4,1.42,0.63,0.33,0.75,1.2,1.2,0.13,+1.8,+1.8,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,12.7,3,0,0,12,4,1,33.3,0.94,0.31,0.25,0.75,1.0,1.0,0.09,+2.0,+2.0,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,6.3,0,0,0,7,2,0,28.6,1.10,0.32,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,26.5,1,0,0,17,4,1,23.5,0.64,0.15,0.06,0.25,1.9,1.9,0.11,-0.9,-0.9,Matches
53,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,0,0,0,4,2,0,50.0,1.44,0.72,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,25.4,1,0,0,32,8,1,25.0,1.26,0.32,0.03,0.13,2.1,2.1,0.07,-1.1,-1.1,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,11.1,0,0,0,14,5,0,35.7,1.26,0.45,0.00,0.00,0.3,0.3,0.02,-0.3,-0.3,Matches
56,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,18.0,0,0,0,2,2,0,100.0,0.11,0.11,0.00,0.00,0.2,0.2,0.09,-0.2,-0.2,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,0,0,0,21,7,0,33.3,2.47,0.82,0.00,0.00,1.0,1.0,0.05,-1.0,-1.0,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,22,1996,6.9,1,0,0,17,6,0,35.3,2.46,0.87,0.06,0.17,1.2,1.2,0.07,-0.2,-0.2,Matches
60,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,4.5,1,0,0,8,1,2,12.5,1.80,0.22,0.13,1.00,0.9,0.9,0.12,+0.1,+0.1,Matches
61,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
62,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
63,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,2.6,0,0,0,1,0,0,0.0,0.39,0.00,0.00,,0.0,0.0,0.05,0.0,0.0,Matches
64,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,5.0,0,0,0,3,0,0,0.0,0.60,0.00,0.00,,0.4,0.4,0.12,-0.4,-0.4,Matches
65,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,26.0,1,0,0,38,10,10,26.3,1.46,0.38,0.03,0.10,2.2,2.2,0.06,-1.2,-1.2,Matches
66,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,28.9,0,0,0,13,0,0,0.0,0.45,0.00,0.00,,1.0,1.0,0.07,-1.0,-1.0,Matches
67,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,0,0,0,16,2,0,12.5,1.11,0.14,0.00,0.00,1.3,1.3,0.08,-1.3,-1.3,Matches
68,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,4.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
69,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,0,0,0,20,5,0,25.0,0.83,0.21,0.00,0.00,1.4,1.4,0.07,-1.4,-1.4,Matches
70,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,25.2,13,0,0,76,34,0,44.7,3.02,1.35,0.17,0.38,13.8,13.8,0.18,-0.8,-0.8,Matches
71,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
72,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,11.4,0,0,0,11,3,0,27.3,0.96,0.26,0.00,0.00,0.3,0.3,0.02,-0.3,-0.3,Matches
73,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,24.8,6,0,0,39,16,0,41.0,1.57,0.64,0.15,0.38,5.7,5.7,0.15,+0.3,+0.3,Matches
74,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,28.2,0,0,0,19,1,2,5.3,0.67,0.04,0.00,0.00,0.8,0.8,0.04,-0.8,-0.8,Matches
75,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,6.6,0,0,0,13,3,0,23.1,1.97,0.45,0.00,0.00,0.6,0.6,0.04,-0.6,-0.6,Matches
76,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,29.4,1,0,0,16,4,0,25.0,0.54,0.14,0.06,0.25,1.1,1.1,0.07,-0.1,-0.1,Matches
77,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27.6,0,0,0,2,1,0,50.0,0.07,0.04,0.00,0.00,0.3,0.3,0.14,-0.3,-0.3,Matches
78,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,15.6,0,0,0,12,3,0,25.0,0.77,0.19,0.00,0.00,0.5,0.5,0.04,-0.5,-0.5,Matches
79,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,9.9,0,0,0,9,0,2,0.0,0.91,0.00,0.00,,0.5,0.5,0.05,-0.5,-0.5,Matches
80,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.2,1,0,0,12,2,0,16.7,0.98,0.16,0.08,0.50,0.6,0.6,0.05,+0.4,+0.4,Matches
81,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,3,0,0,15,6,0,40.0,0.57,0.23,0.20,0.50,0.9,0.9,0.06,+2.1,+2.1,Matches
82,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,0,0,0,1,0,0,0.0,2.43,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
83,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,8.9,1,0,0,7,2,0,28.6,0.79,0.22,0.14,0.50,0.5,0.5,0.07,+0.5,+0.5,Matches
84,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.0,0,0,0,7,2,0,28.6,0.37,0.11,0.00,0.00,0.7,0.7,0.10,-0.7,-0.7,Matches
85,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,2,0,0,6,4,0,66.7,0.46,0.30,0.33,0.50,1.2,1.2,0.20,+0.8,+0.8,Matches
86,Leon Clarke\Leon-Clarke,eng ENG,MF,Sheffield Utd,34,1985,0.2,0,0,0,1,0,0,0.0,6.43,0.00,0.00,,0.4,0.4,0.41,-0.4,-0.4,Matches
87,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,8.6,1,0,0,16,5,0,31.3,1.86,0.58,0.06,0.20,1.5,1.5,0.09,-0.5,-0.5,Matches
88,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,34.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
89,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,17.1,0,0,0,6,2,0,33.3,0.35,0.12,0.00,0.00,0.6,0.6,0.09,-0.6,-0.6,Matches
90,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,12.3,2,0,0,32,11,0,34.4,2.59,0.89,0.06,0.18,2.7,2.7,0.09,-0.7,-0.7,Matches
91,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,14.4,0,0,0,9,2,0,22.2,0.62,0.14,0.00,0.00,0.3,0.3,0.04,-0.3,-0.3,Matches
92,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,23.4,1,0,0,12,1,0,8.3,0.51,0.04,0.08,1.00,0.7,0.7,0.06,+0.3,+0.3,Matches
93,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29.0,0,0,0,18,5,0,27.8,0.62,0.17,0.00,0.00,1.8,1.8,0.10,-1.8,-1.8,Matches
94,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,27.5,3,0,0,17,5,6,29.4,0.62,0.18,0.18,0.60,1.3,1.3,0.07,+1.7,+1.7,Matches
95,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,2,0,0,11,3,0,27.3,3.33,0.91,0.18,0.67,2.3,2.3,0.21,-0.3,-0.3,Matches
96,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,0,0,0,1,0,0,0.0,1.34,0.00,0.00,,0.1,0.1,0.15,-0.1,-0.1,Matches
97,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
98,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,10.1,0,0,0,5,1,0,20.0,0.50,0.10,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4,Matches
99,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,0,0,0,1,0,0,0.0,0.32,0.00,0.00,,0.1,0.1,0.09,-0.1,-0.1,Matches
100,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,10.9,0,0,0,4,0,0,0.0,0.37,0.00,0.00,,0.2,0.2,0.04,-0.2,-0.2,Matches
101,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,18.0,1,0,0,16,5,0,31.3,0.89,0.28,0.06,0.20,1.9,1.9,0.12,-0.9,-0.9,Matches
102,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,4.8,0,0,0,14,5,0,35.7,2.89,1.03,0.00,0.00,1.9,1.9,0.13,-1.9,-1.9,Matches
103,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,22.2,2,0,0,15,6,0,40.0,0.67,0.27,0.13,0.33,1.3,1.3,0.09,+0.7,+0.7,Matches
104,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,28.3,11,2,2,89,24,9,27.0,3.14,0.85,0.10,0.38,7.4,6.0,0.07,+3.6,+3.0,Matches
105,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,21.3,6,2,3,32,14,0,43.8,1.50,0.66,0.13,0.29,6.6,4.3,0.14,-0.6,-0.3,Matches
106,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,0,0,0,3,0,0,0.0,0.23,0.00,0.00,,0.1,0.1,0.02,-0.1,-0.1,Matches
107,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,28.0,3,0,0,19,4,0,21.1,0.68,0.14,0.16,0.75,1.6,1.6,0.09,+1.4,+1.4,Matches
108,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,4,1,1,63,22,8,34.9,2.70,0.94,0.05,0.14,5.3,4.5,0.07,-1.3,-1.5,Matches
109,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,13.9,0,0,0,8,1,1,12.5,0.57,0.07,0.00,0.00,1.1,1.1,0.13,-1.1,-1.1,Matches
110,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,28.9,0,0,0,24,5,11,20.8,0.83,0.17,0.00,0.00,1.2,1.2,0.05,-1.2,-1.2,Matches
111,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,34.0,4,0,0,25,11,0,44.0,0.74,0.32,0.16,0.36,2.3,2.3,0.10,+1.7,+1.7,Matches
112,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,26.7,3,0,0,14,6,0,42.9,0.52,0.22,0.21,0.50,1.5,1.5,0.11,+1.5,+1.5,Matches
113,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,2,0,0,20,7,0,35.0,1.94,0.68,0.10,0.29,2.4,2.4,0.12,-0.4,-0.4,Matches
114,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,28.7,4,0,0,31,15,0,48.4,1.08,0.52,0.13,0.27,4.9,4.9,0.16,-0.9,-0.9,Matches
115,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,31.5,4,0,0,56,12,0,21.4,1.78,0.38,0.07,0.33,4.6,4.6,0.08,-0.6,-0.6,Matches
116,Thomas Doyle\Thomas-Doyle,eng ENG,MF,Manchester City,17,2001,0.2,0,0,0,1,1,,100.0,5.63,5.63,0.00,0.00,,,,,,Matches
117,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,0,0,0,2,0,0,0.0,0.69,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
119,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,5.8,1,0,0,13,5,0,38.5,2.23,0.86,0.08,0.20,2.8,2.8,0.25,-1.8,-1.8,Matches
120,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,34.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
121,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,0,0,0,10,3,2,30.0,1.24,0.37,0.00,0.00,0.8,0.8,0.08,-0.8,-0.8,Matches
122,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.7,1,0,0,6,1,0,16.7,0.44,0.07,0.17,1.00,1.6,1.6,0.27,-0.6,-0.6,Matches
123,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,0,0,0,1,1,0,100.0,0.07,0.07,0.00,0.00,0.0,0.0,0.03,0.0,0.0,Matches
124,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,31.9,3,0,0,28,9,5,32.1,0.88,0.28,0.11,0.33,3.8,3.8,0.14,-0.8,-0.8,Matches
125,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,30.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
126,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,31.4,2,0,0,24,5,0,20.8,0.76,0.16,0.08,0.40,2.0,2.0,0.08,-1.0,-1.0,Matches
127,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
