,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
203,Junior Hoilett\Junior-Hoilett,ca CAN,FWMF,Cardiff City,28,1990,23.8,334,531,62.9,5573,1933,8,35,22.9,277,355,78.0,49,141,34.8,1,1.2,-0.2,23,11,13,2,44,Matches
204,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,22,1995,9.0,540,614,87.9,11241,3676,3,6,50.0,379,416,91.1,158,192,82.3,0,0.1,-0.1,2,20,1,0,23,Matches
205,José Holebas\Jose-Holebas,gr GRE,DF,Watford,34,1984,26.6,819,1330,61.6,16549,7823,15,55,27.3,581,719,80.8,223,556,40.1,6,3.6,+2.4,36,53,16,10,175,Matches
206,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,21,1996,4.5,192,258,74.4,4537,1575,1,4,25.0,118,144,81.9,73,110,66.4,0,0.0,0.0,0,36,3,0,26,Matches
207,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,17,2000,4.4,192,236,81.4,3131,648,0,3,0.0,163,190,85.8,29,43,67.4,1,0.8,+0.2,8,7,9,5,16,Matches
208,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,23,1995,26.9,773,1007,76.8,11520,3796,29,64,45.3,653,785,83.2,91,158,57.6,4,3.3,+0.7,28,65,29,5,108,Matches
209,Emerson Hyndman\Emerson-Hyndman,us USA,MF,Bournemouth,22,1996,0.4,17,23,73.9,292,29,1,3,33.3,13,17,76.5,3,3,100.0,0,0.0,0.0,0,2,0,0,1,Matches
210,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,22,1995,30.7,1495,1824,82.0,28938,7067,13,43,30.2,1136,1304,87.1,346,477,72.5,3,2.4,+0.6,27,213,19,5,165,Matches
211,Jordon Ibe\Jordon-Ibe,eng ENG,MFFW,Bournemouth,22,1995,8.9,214,285,75.1,3736,1167,4,21,19.0,169,205,82.4,41,59,69.5,1,0.6,+0.4,10,13,19,4,44,Matches
212,Vicente Iborra\Vicente-Iborra,es ESP,MF,Leicester City,30,1988,2.5,124,144,86.1,2730,624,3,7,42.9,78,90,86.7,43,47,91.5,0,0.1,-0.1,1,15,1,0,12,Matches
213,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FWMF,Leicester City,21,1996,10.5,217,288,75.3,3346,684,4,11,36.4,184,228,80.7,29,49,59.2,3,1.7,+1.3,14,10,7,1,22,Matches
214,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,26,1992,18.3,287,417,68.8,4558,1194,13,25,52.0,231,312,74.0,43,80,53.8,3,2.6,+0.4,25,32,16,2,42,Matches
215,Alex Iwobi\Alex-Iwobi,ng NGA,FWMF,Arsenal,22,1996,21.9,774,1031,75.1,12829,3703,8,56,14.3,661,799,82.7,105,176,59.7,6,5.3,+0.7,39,48,59,14,130,Matches
216,José Izquierdo\Jose-Izquierdo,co COL,MFFW,Brighton,26,1992,8.8,162,210,77.1,2460,812,4,13,30.8,136,164,82.9,22,33,66.7,1,0.4,+0.6,5,9,4,1,18,Matches
217,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Everton,35,1982,3.7,136,177,76.8,3372,829,0,2,0.0,76,91,83.5,60,84,71.4,0,0.2,-0.2,1,8,0,0,6,Matches
218,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,24,1993,11.3,210,306,68.6,3800,1206,4,20,20.0,166,210,79.0,40,76,52.6,0,0.3,-0.3,4,16,6,1,32,Matches
219,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,29,1989,16.9,563,795,70.8,10749,4694,3,19,15.8,425,515,82.5,135,261,51.7,2,0.7,+1.3,10,48,23,11,105,Matches
220,Vincent Janssen\Vincent-Janssen,nl NED,FW,Tottenham,24,1994,0.4,7,10,70.0,68,0,0,1,0.0,7,8,87.5,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
221,Carl Jenkinson\Carl-Jenkinson,eng ENG,DF,Arsenal,26,1992,1.8,72,92,78.3,1161,305,1,8,12.5,63,70,90.0,8,14,57.1,0,0.0,0.0,0,2,1,0,4,Matches
222,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,21,1997,11.5,296,358,82.7,4031,516,8,19,42.1,265,309,85.8,23,30,76.7,3,1.7,+1.3,20,14,6,0,21,Matches
223,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,27,1991,34.6,789,1072,73.6,12606,2289,20,64,31.3,649,823,78.9,120,185,64.9,7,7.0,0.0,42,44,39,5,81,Matches
224,Stefan Johansen\Stefan-Johansen,no NOR,MF,Fulham,27,1991,4.6,192,250,76.8,3595,1336,3,8,37.5,147,176,83.5,42,66,63.6,0,0.1,-0.1,1,20,4,0,31,Matches
225,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,18,2000,0.7,19,22,86.4,239,115,0,1,0.0,18,18,100.0,1,3,33.3,0,0.0,0.0,0,1,0,0,0,Matches
226,Tyreke Johnson\Tyreke-Johnson,eng ENG,FW,Southampton,19,1998,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
227,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,26,1992,14.0,692,748,92.5,14538,4036,2,5,40.0,475,510,93.1,215,233,92.3,1,0.6,+0.4,3,31,2,0,31,Matches
228,Jorginho\Jorginho,it ITA,MF,Chelsea,26,1991,35.1,2703,3032,89.1,45124,13770,34,66,51.5,2286,2474,92.4,383,492,77.8,0,3.0,-3.0,29,348,47,1,317,Matches
229,Joselu\Joselu,es ESP,FW,Newcastle Utd,28,1990,6.6,124,195,63.6,1819,334,3,14,21.4,105,157,66.9,16,24,66.7,0,0.0,0.0,1,9,1,0,12,Matches
230,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,21,1996,26.2,597,788,75.8,9659,2057,13,47,27.7,511,624,81.9,73,117,62.4,5,3.8,+1.2,27,48,24,6,78,Matches
231,Mathias Jørgensen\Mathias-Jorgensen,dk DEN,DF,Huddersfield,28,1990,23.9,945,1156,81.7,18959,8020,16,31,51.6,679,771,88.1,250,354,70.6,1,0.3,+0.7,8,82,3,0,109,Matches
232,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,27,1991,17.6,429,588,73.0,9585,3355,8,14,57.1,275,343,80.2,146,231,63.2,0,0.1,-0.1,1,30,0,0,33,Matches
233,Elias Kachunga\Elias-Kachunga,cd COD,FWMF,Huddersfield,26,1992,13.1,230,319,72.1,3314,705,11,29,37.9,195,251,77.7,24,39,61.5,0,0.1,-0.1,4,16,5,5,22,Matches
234,Aboubakar Kamara\Aboubakar-Kamara,fr FRA,FWMF,Fulham,23,1995,7.7,174,248,70.2,2866,539,0,10,0.0,147,189,77.8,27,49,55.1,0,0.8,-0.8,11,6,3,1,13,Matches
235,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,25,1993,26.9,423,575,73.6,8165,2156,9,30,30.0,312,393,79.4,102,152,67.1,4,4.0,0.0,29,58,17,3,81,Matches
236,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,27,1991,34.4,1805,2056,87.8,28654,6403,44,81,54.3,1521,1683,90.4,240,292,82.2,4,3.5,+0.5,47,149,40,7,150,Matches
237,Beram Kayal\Beram-Kayal,il ISR,MF,Brighton,30,1988,10.4,203,292,69.5,3618,1107,4,12,33.3,159,200,79.5,40,80,50.0,1,1.0,0.0,5,20,3,1,29,Matches
238,Michael Keane\Michael-Keane,eng ENG,DF,Everton,25,1993,33.0,1285,1558,82.5,28801,10748,5,17,29.4,844,962,87.7,436,579,75.3,2,0.7,+1.3,8,97,4,0,108,Matches
239,Neeskens Kebano\Neeskens-Kebano,cd COD,FWMF,Fulham,26,1992,1.2,25,32,78.1,394,53,0,1,0.0,24,30,80.0,1,1,100.0,0,0.0,0.0,0,2,0,0,1,Matches
240,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,23,1995,15.4,898,1013,88.6,14683,3625,9,17,52.9,753,834,90.3,136,162,84.0,1,1.1,-0.1,10,95,33,1,114,Matches
241,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,28,1990,12.3,263,346,76.0,5782,2521,2,4,50.0,179,209,85.6,82,133,61.7,0,0.0,0.0,1,19,2,0,17,Matches
242,Kenedy\Kenedy,br BRA,MFFW,Newcastle Utd,22,1996,15.0,386,548,70.4,6741,2170,8,42,19.0,306,381,80.3,72,125,57.6,1,0.8,+0.2,11,33,13,5,53,Matches
243,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Everton,21,1997,8.8,431,575,75.0,7656,3760,3,14,21.4,350,417,83.9,78,144,54.2,1,0.3,+0.7,5,47,13,3,81,Matches
244,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,21,1997,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
245,Joshua King\Joshua-King,no NOR,FW,Bournemouth,26,1992,32.9,607,868,69.9,9411,2210,13,50,26.0,523,692,75.6,71,126,56.3,3,4.2,-1.2,37,42,39,7,94,Matches
246,Anthony Knockaert\Anthony-Knockaert,fr FRA,FWMF,Brighton,26,1991,20.4,523,736,71.1,9823,3182,8,29,27.6,407,500,81.4,108,207,52.2,6,4.3,+1.7,40,22,18,6,85,Matches
247,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,25,1993,21.0,973,1227,79.3,15331,5195,16,56,28.6,843,993,84.9,114,178,64.0,5,5.4,-0.4,32,52,24,9,117,Matches
248,Vincent Kompany\Vincent-Kompany,be BEL,DF,Manchester City,32,1986,13.6,1127,1212,93.0,24149,7772,4,8,50.0,751,797,94.2,372,407,91.4,0,0.1,-0.1,3,109,1,0,68,Matches
249,Terence Kongolo\Terence-Kongolo,nl NED,DF,Huddersfield,24,1994,30.2,952,1253,76.0,18738,8386,5,30,16.7,703,819,85.8,244,404,60.4,1,1.0,0.0,9,74,11,4,112,Matches
250,Laurent Koscielny\Laurent-Koscielny,fr FRA,DF,Arsenal,32,1985,14.8,805,871,92.4,18690,4802,4,10,40.0,493,520,94.8,308,341,90.3,0,0.1,-0.1,2,27,2,0,27,Matches
251,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MF,Crystal Palace,28,1989,21.1,639,798,80.1,10031,3257,17,36,47.2,536,640,83.8,86,122,70.5,2,1.0,+1.0,15,67,6,3,70,Matches
252,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,24,1994,19.3,1355,1485,91.2,21641,5134,19,33,57.6,1141,1221,93.4,195,231,84.4,2,2.3,-0.3,25,136,21,1,100,Matches
253,Rajiv van La Parra\Rajiv-van-La-Parra,nl NED,MFFW,Huddersfield,27,1991,4.5,94,121,77.7,1632,295,3,8,37.5,70,83,84.3,21,30,70.0,0,0.1,-0.1,5,6,1,0,10,Matches
254,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,27,1991,27.8,579,797,72.6,8085,2130,39,84,46.4,475,607,78.3,65,106,61.3,8,2.7,+5.3,29,32,45,3,79,Matches
255,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,30,1988,5.2,253,304,83.2,3360,881,9,16,56.3,226,256,88.3,18,32,56.3,0,0.5,-0.5,9,13,9,0,35,Matches
256,Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,26,1992,10.8,368,449,82.0,5672,1246,8,23,34.8,308,353,87.3,52,73,71.2,2,2.6,-0.6,24,26,20,2,47,Matches
257,Manuel Lanzini\Manuel-Lanzini,ar ARG,MF,West Ham,25,1993,7.6,408,471,86.6,5682,1754,19,27,70.4,359,393,91.3,30,51,58.8,1,0.9,+0.1,6,28,7,0,42,Matches
258,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,24,1994,34.0,2793,3028,92.2,59118,19695,11,21,52.4,1983,2079,95.4,799,928,86.1,3,1.2,+1.8,14,322,7,0,251,Matches
259,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,24,1993,30.5,836,1087,76.9,18344,6066,7,22,31.8,553,673,82.2,276,392,70.4,1,0.3,+0.7,2,42,0,0,53,Matches
260,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,28,1989,25.0,1195,1448,82.5,23779,9349,5,24,20.8,915,1002,91.3,275,422,65.2,1,0.5,+0.5,7,57,9,3,87,Matches
261,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,27,1991,11.7,427,554,77.1,10966,3864,0,8,0.0,258,309,83.5,169,237,71.3,0,0.2,-0.2,3,49,3,0,33,Matches
262,Mario Lemina\Mario-Lemina,ga GAB,MF,Southampton,24,1993,17.9,704,833,84.5,12903,3282,9,19,47.4,560,624,89.7,135,190,71.1,1,0.4,+0.6,11,67,12,1,71,Matches
263,Aaron Lennon\Aaron-Lennon,eng ENG,FWMF,Burnley,31,1987,13.5,235,316,74.4,3720,765,1,16,6.3,199,241,82.6,35,59,59.3,1,0.6,+0.4,7,7,7,2,19,Matches
264,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,26,1992,31.5,779,1102,70.7,22158,12515,4,7,57.1,408,412,99.0,367,683,53.7,0,0.0,0.0,0,4,0,0,2,Matches
265,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,23,1994,27.8,1320,1566,84.3,24967,6790,15,38,39.5,1018,1147,88.8,287,381,75.3,0,0.9,-0.9,15,116,13,1,117,Matches
266,Stephan Lichtsteiner\Stephan-Lichtsteiner,ch SUI,DF,Arsenal,34,1984,10.4,460,600,76.7,8056,2628,3,30,10.0,385,435,88.5,72,135,53.3,0,0.0,0.0,2,22,7,1,47,Matches
267,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,24,1994,28.9,1323,1481,89.3,25954,9015,12,27,44.4,1015,1079,94.1,296,375,78.9,1,1.0,0.0,4,57,6,0,71,Matches
268,Jesse Lingard\Jesse-Lingard,eng ENG,FWMF,Manchester Utd,25,1992,18.5,668,788,84.8,9707,1844,30,49,61.2,564,636,88.7,74,103,71.8,2,2.1,-0.1,17,59,14,1,49,Matches
269,Fernando Llorente\Fernando-Llorente,es ESP,FW,Tottenham,33,1985,7.7,152,220,69.1,2050,282,6,11,54.5,133,185,71.9,13,24,54.2,4,1.3,+2.7,11,9,2,0,6,Matches
270,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,31,1986,33.0,890,1169,76.1,28106,16314,0,0,,408,413,98.8,482,756,63.8,0,0.0,0.0,1,10,0,0,0,Matches
271,Jürgen Locadia\Jurgen-Locadia,nl NED,FWMF,Brighton,24,1993,13.7,263,357,73.7,4464,995,5,16,31.3,217,280,77.5,41,61,67.2,0,1.1,-1.1,13,12,11,3,25,Matches
272,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,22,1996,11.1,549,624,88.0,8297,1589,12,29,41.4,480,527,91.1,57,68,83.8,2,1.4,+0.6,17,45,8,0,51,Matches
273,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,27,1990,5.7,139,177,78.5,3437,1180,1,3,33.3,80,93,86.0,58,81,71.6,1,0.0,+1.0,0,8,0,0,10,Matches
274,Shane Long\Shane-Long,ie IRL,FWMF,Southampton,31,1987,14.1,211,329,64.1,2897,574,9,24,37.5,181,259,69.9,21,46,45.7,1,1.1,-0.1,13,13,5,2,23,Matches
275,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,20,1997,7.6,236,295,80.0,4937,1046,1,5,20.0,167,191,87.4,68,99,68.7,0,0.5,-0.5,5,29,6,1,27,Matches
276,Ademola Lookman\Ademola-Lookman,eng ENG,FWMF,Everton,20,1997,6.9,221,273,81.0,3282,948,5,15,33.3,198,225,88.0,18,33,54.5,2,1.2,+0.8,9,18,11,4,33,Matches
277,Jonas Lössl\Jonas-Lossl,dk DEN,GK,Huddersfield,29,1989,30.9,693,1097,63.2,27674,20380,0,1,0.0,213,215,99.1,480,881,54.5,1,0.4,+0.6,3,21,0,0,1,Matches
278,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,29,1989,11.0,716,809,88.5,15081,4992,4,8,50.0,508,542,93.7,204,259,78.8,0,0.3,-0.3,1,32,2,1,29,Matches
279,Chris Löwe\Chris-Lowe,de GER,DFMF,Huddersfield,29,1989,22.9,747,1081,69.1,14723,4960,8,52,15.4,559,685,81.6,180,344,52.3,2,1.5,+0.5,18,40,28,18,99,Matches
280,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,29,1989,19.4,623,910,68.5,12978,6126,5,18,27.8,449,556,80.8,169,336,50.3,0,0.7,-0.7,8,68,19,7,131,Matches
281,David Luiz\David-Luiz,br BRA,DF,Chelsea,31,1987,36.0,2293,2621,87.5,53145,18569,17,31,54.8,1460,1571,92.9,816,1019,80.1,2,2.6,-0.6,16,240,20,1,232,Matches
282,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Manchester Utd,25,1993,23.7,379,583,65.0,5724,1330,10,27,37.0,321,458,70.1,48,98,49.0,0,3.0,-3.0,24,30,27,4,49,Matches
283,James Maddison\James-Maddison,eng ENG,MFFW,Leicester City,21,1996,31.5,1243,1617,76.9,23847,7531,17,48,35.4,925,1070,86.4,301,499,60.3,7,7.2,-0.2,96,137,51,5,237,Matches
284,Gary Madine\Gary-Madine,eng ENG,FWMF,Cardiff City,27,1990,0.4,12,13,92.3,162,43,1,1,100.0,11,12,91.7,0,0,,0,0.0,0.0,0,2,1,0,3,Matches
285,Harry Maguire\Harry-Maguire,eng ENG,DF,Leicester City,25,1993,28.8,1496,1749,85.5,35344,11701,12,30,40.0,912,1018,89.6,572,701,81.6,0,0.3,-0.3,9,177,10,0,166,Matches
286,Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,Manchester City,27,1991,14.9,717,884,81.1,13230,2838,10,30,33.3,557,634,87.9,150,220,68.2,4,4.3,-0.3,25,29,45,10,98,Matches
287,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,20,1997,11.0,454,571,79.5,7893,2740,5,25,20.0,377,435,86.7,72,111,64.9,1,1.1,-0.1,6,33,14,1,73,Matches
288,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,26,1992,34.2,932,1215,76.7,15438,3354,16,61,26.2,780,954,81.8,136,200,68.0,1,4.6,-3.6,43,77,44,4,111,Matches
289,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,24,1994,12.2,352,517,68.1,6145,2642,6,25,24.0,288,373,77.2,58,119,48.7,3,0.9,+2.1,8,27,11,3,77,Matches
290,Solly March\Solly-March,eng ENG,FWMF,Brighton,24,1994,27.4,597,924,64.6,11310,3191,14,71,19.7,452,592,76.4,131,261,50.2,5,4.0,+1.0,38,35,34,20,86,Matches
291,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,31,1986,21.4,736,879,83.7,15862,5860,6,12,50.0,492,541,90.9,238,326,73.0,0,0.7,-0.7,5,47,3,1,44,Matches
292,Lazar Marković\Lazar-Markovic,rs SRB,FW,Fulham,24,1994,0.5,29,30,96.7,388,97,1,2,50.0,26,26,100.0,2,2,100.0,0,0.0,0.0,1,2,1,0,2,Matches
293,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,22,1995,18.0,575,752,76.5,7917,2249,12,44,27.3,522,637,81.9,41,71,57.7,2,2.6,-0.6,33,35,30,4,83,Matches
294,Adam Masina\Adam-Masina,it ITA,DF,Watford,24,1994,11.2,436,565,77.2,7775,3455,7,24,29.2,349,413,84.5,80,128,62.5,1,0.4,+0.6,2,30,4,2,67,Matches
295,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,24,1993,19.5,878,1092,80.4,15287,6277,14,38,36.8,711,802,88.7,153,252,60.7,1,1.5,-0.5,15,65,13,6,91,Matches
296,Juan Mata\Juan-Mata,es ESP,FWMF,Manchester Utd,30,1988,14.3,618,766,80.7,10983,2704,10,23,43.5,483,543,89.0,125,200,62.5,2,2.8,-0.8,29,62,25,6,84,Matches
297,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,29,1988,27.1,1579,1797,87.9,30170,7839,23,42,54.8,1180,1297,91.0,376,458,82.1,0,0.9,-0.9,14,173,21,4,152,Matches
298,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,26,1991,17.1,1158,1320,87.7,25138,7510,5,12,41.7,789,851,92.7,364,457,79.6,0,0.1,-0.1,2,85,5,0,60,Matches
299,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Arsenal,20,1997,1.6,125,133,94.0,2672,563,2,3,66.7,88,92,95.7,35,38,92.1,0,0.3,-0.3,1,12,0,0,8,Matches
300,Alfie Mawson\Alfie-Mawson,eng ENG,DF,Fulham,24,1994,12.6,397,487,81.5,8970,2945,2,6,33.3,263,291,90.4,132,190,69.5,0,0.0,0.0,1,19,0,0,29,Matches
301,Isaac Mbenza\Isaac-Mbenza,be BEL,FWMF,Huddersfield,22,1996,11.0,188,282,66.7,3095,849,2,14,14.3,156,207,75.4,30,61,49.2,1,0.8,+0.2,7,9,7,5,21,Matches
302,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,30,1987,34.0,1151,1454,79.2,20576,5246,16,54,29.6,915,1066,85.8,220,334,65.9,6,3.6,+2.4,30,106,17,2,101,Matches
303,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,28,1989,25.0,318,637,49.9,12362,9009,0,2,0.0,121,122,99.2,197,513,38.4,0,0.0,0.0,0,17,0,0,0,Matches
