,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
304,James McCarthy\James-McCarthy,ie IRL,MF,Everton,27,1990,0.2,7,8,87.5,107,11,1,2,50.0,4,4,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,0,Matches
305,Kevin McDonald\Kevin-McDonald,sco SCO,MF,Fulham,29,1988,9.3,484,567,85.4,9208,2394,6,9,66.7,364,400,91.0,114,158,72.2,0,0.1,-0.1,3,46,0,0,35,Matches
306,Dwight McNeil\Dwight-McNeil,eng ENG,MFFW,Burnley,18,1999,17.7,383,584,65.6,6974,2251,8,41,19.5,303,378,80.2,72,165,43.6,5,3.5,+1.5,27,25,20,14,69,Matches
307,Scott McTominay\Scott-McTominay,sco SCO,MFDF,Manchester Utd,21,1996,9.6,387,455,85.1,6937,1960,5,9,55.6,312,345,90.4,70,101,69.3,0,0.0,0.0,1,33,1,0,28,Matches
308,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,28,1989,38.0,1119,1484,75.4,27336,10810,6,25,24.0,666,787,84.6,447,672,66.5,2,1.3,+0.7,9,122,5,1,99,Matches
309,Nathaniel Mendez-Laing\Nathaniel-Mendez-Laing,eng ENG,MFFW,Cardiff City,26,1992,10.9,173,284,60.9,2672,1157,3,30,10.0,143,202,70.8,27,52,51.9,1,1.4,-0.4,20,15,10,6,37,Matches
310,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,24,1994,10.0,668,791,84.5,11962,3861,5,13,38.5,559,615,90.9,104,163,63.8,5,1.5,+3.5,12,54,27,11,113,Matches
311,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,26,1992,23.2,969,1106,87.6,17004,3829,12,28,42.9,783,858,91.3,174,220,79.1,0,0.2,-0.2,6,95,5,3,80,Matches
312,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,20,1997,9.4,324,391,82.9,6860,2225,2,5,40.0,216,244,88.5,106,142,74.6,1,0.0,+1.0,0,17,0,0,22,Matches
313,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,22,1995,15.7,566,697,81.2,8453,2154,11,31,35.5,498,575,86.6,57,91,62.6,2,1.3,+0.7,23,45,13,2,56,Matches
314,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,27,1991,38.0,1629,2140,76.1,32438,10106,27,65,41.5,1201,1378,87.2,401,697,57.5,2,3.2,-1.2,59,181,26,8,248,Matches
315,James Milner\James-Milner,eng ENG,MFDF,Liverpool,32,1986,19.9,1300,1614,80.5,25922,9195,17,52,32.7,967,1091,88.6,316,471,67.1,4,4.7,-0.7,45,143,41,7,207,Matches
316,Yerry Mina\Yerry-Mina,co COL,DF,Everton,23,1994,9.9,413,488,84.6,9307,3264,1,5,20.0,267,297,89.9,145,186,78.0,0,0.2,-0.2,3,28,1,0,34,Matches
317,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Bournemouth,25,1993,1.6,74,91,81.3,1377,495,1,3,33.3,57,66,86.4,16,22,72.7,0,0.0,0.0,0,8,0,0,6,Matches
318,Aleksandar Mitrović\Aleksandar-Mitrovic,rs SRB,FW,Fulham,23,1994,36.4,761,1053,72.3,10521,1885,27,58,46.6,666,887,75.1,68,108,63.0,3,2.6,+0.4,26,45,16,0,64,Matches
319,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FWMF,Arsenal,29,1989,18.2,661,872,75.8,10549,3037,16,52,30.8,553,659,83.9,92,161,57.1,4,4.2,-0.2,27,67,32,2,96,Matches
320,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,32,1986,20.7,1121,1296,86.5,18755,6573,18,44,40.9,938,1024,91.6,165,228,72.4,3,1.4,+1.6,11,68,14,3,101,Matches
321,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,27,1991,24.1,895,1145,78.2,15916,7060,7,41,17.1,733,862,85.0,155,242,64.0,1,1.1,-0.1,19,67,27,12,148,Matches
322,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Huddersfield,27,1990,25.9,1078,1427,75.5,19310,6216,16,57,28.1,857,993,86.3,205,377,54.4,1,2.8,-1.8,43,134,29,9,172,Matches
323,Álvaro Morata\Alvaro-Morata,es ESP,FW,Chelsea,25,1992,10.5,171,219,78.1,2572,235,9,12,75.0,140,173,80.9,22,34,64.7,0,0.2,-0.2,6,13,1,0,5,Matches
324,Alberto Moreno\Alberto-Moreno,es ESP,DF,Liverpool,26,1992,1.7,110,126,87.3,2136,675,0,2,0.0,83,89,93.3,27,35,77.1,0,0.1,-0.1,3,7,5,1,15,Matches
325,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,34,1984,21.4,739,896,82.5,15028,4386,9,15,60.0,522,600,87.0,208,281,74.0,0,0.2,-0.2,2,34,0,0,34,Matches
326,Sean Morrison\Sean-Morrison,eng ENG,DF,Cardiff City,27,1991,33.8,525,909,57.8,11406,5405,4,27,14.8,349,511,68.3,172,371,46.4,3,2.4,+0.6,17,35,8,1,68,Matches
327,Victor Moses\Victor-Moses,ng NGA,FW,Chelsea,27,1990,0.3,11,14,78.6,167,18,0,1,0.0,10,12,83.3,1,1,100.0,0,0.0,0.0,0,0,1,0,1,Matches
328,Steve Mounié\Steve-Mounie,bj BEN,FW,Huddersfield,23,1994,19.8,363,557,65.2,5226,903,7,32,21.9,322,469,68.7,34,56,60.7,3,1.9,+1.1,17,25,3,0,27,Matches
329,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,25,1992,23.6,561,745,75.3,8649,2162,10,35,28.6,486,595,81.7,65,115,56.5,0,1.8,-1.8,27,37,18,2,61,Matches
330,Lys Mousset\Lys-Mousset,fr FRA,FWMF,Bournemouth,22,1996,4.1,86,121,71.1,1107,286,4,9,44.4,76,105,72.4,6,7,85.7,0,0.5,-0.5,4,9,6,0,10,Matches
331,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,31,1986,33.7,1660,2063,80.5,35146,9787,15,32,46.9,1170,1309,89.4,475,722,65.8,8,5.6,+2.4,80,195,45,14,263,Matches
332,Jacob Murphy\Jacob-Murphy,eng ENG,MFFW,Newcastle Utd,23,1995,3.4,39,71,54.9,839,321,0,1,0.0,26,41,63.4,13,29,44.8,1,0.4,+0.6,1,2,3,2,9,Matches
333,Josh Murphy\Josh-Murphy,eng ENG,FWMF,Cardiff City,23,1995,20.2,209,384,54.4,3749,1464,3,32,9.4,163,228,71.5,43,124,34.7,2,3.1,-1.1,14,20,12,6,35,Matches
334,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,34,1983,27.9,385,633,60.8,5595,1071,16,42,38.1,333,517,64.4,36,74,48.6,1,0.9,+0.1,11,25,9,3,36,Matches
335,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,26,1992,29.0,1438,1747,82.3,31858,10818,8,22,36.4,936,1055,88.7,494,670,73.7,0,0.2,-0.2,5,112,10,0,105,Matches
336,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FW,Newcastle Utd,26,1992,5.8,89,127,70.1,1240,289,4,18,22.2,75,91,82.4,10,18,55.6,0,0.3,-0.3,3,10,1,0,8,Matches
337,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,23,1995,0.1,3,4,75.0,79,35,0,0,,2,2,100.0,1,2,50.0,1,0.1,+0.9,1,0,1,1,1,Matches
338,Samir Nasri\Samir-Nasri,fr FRA,MF,West Ham,31,1987,2.7,135,155,87.1,2084,479,5,5,100.0,109,120,90.8,21,30,70.0,2,0.8,+1.2,6,11,6,1,13,Matches
339,Marc Navarro\Marc-Navarro,es ESP,DF,Watford,23,1995,0.9,22,34,64.7,439,98,2,2,100.0,16,20,80.0,4,12,33.3,0,0.0,0.0,0,0,0,0,2,Matches
340,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,21,1996,36.6,1634,2035,80.3,29967,7215,20,67,29.9,1255,1485,84.5,359,483,74.3,0,1.4,-1.4,22,155,11,0,153,Matches
341,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,21,1997,33.4,1569,1946,80.6,37264,9235,7,40,17.5,981,1122,87.4,581,784,74.1,3,1.3,+1.7,19,198,17,3,176,Matches
342,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Cardiff City,28,1990,10.3,115,169,68.0,1645,349,5,22,22.7,101,131,77.1,9,16,56.3,0,0.5,-0.5,5,4,5,1,14,Matches
343,Oumar Niasse\Oumar-Niasse,sn SEN,FWMF,Everton,28,1990,0.7,13,22,59.1,193,64,0,1,0.0,13,18,72.2,0,3,0.0,0,0.2,-0.2,1,1,2,1,3,Matches
344,Eddie Nketiah\Eddie-Nketiah,eng ENG,MFFW,Arsenal,19,1999,0.7,19,20,95.0,230,53,1,1,100.0,18,18,100.0,0,1,0.0,0,0.2,-0.2,1,1,1,0,2,Matches
345,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,31,1987,25.5,1293,1533,84.3,26334,7460,21,39,53.8,919,1044,88.0,353,450,78.4,5,2.2,+2.8,21,140,28,5,163,Matches
346,Håvard Nordtveit\Havard-Nordtveit,no NOR,DF,Fulham,28,1990,4.0,191,228,83.8,4649,1761,2,3,66.7,111,123,90.2,78,102,76.5,1,0.2,+0.8,3,13,0,0,7,Matches
347,Will Norris\Will-Norris,eng ENG,GK,Wolves,24,1993,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
348,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,18,2000,1.5,17,23,73.9,225,26,0,1,0.0,16,21,76.2,1,1,100.0,1,0.2,+0.8,2,0,3,1,3,Matches
349,Pedro Obiang\Pedro-Obiang,gq EQG,MF,West Ham,26,1992,12.5,434,549,79.1,8134,2245,5,14,35.7,335,403,83.1,94,132,71.2,1,0.4,+0.6,4,47,4,1,51,Matches
350,Denis Odoi\Denis-Odoi,be BEL,DF,Fulham,30,1988,28.8,1165,1418,82.2,22741,8242,10,28,35.7,878,975,90.1,277,415,66.7,1,0.8,+0.2,11,106,9,2,104,Matches
351,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,30,1988,20.8,659,787,83.7,13634,4255,9,13,69.2,459,517,88.8,191,257,74.3,1,0.5,+0.5,4,35,2,0,34,Matches
352,Stefano Okaka\Stefano-Okaka,it ITA,FW,Watford,28,1989,0.3,9,13,69.2,112,32,1,1,100.0,7,10,70.0,1,2,50.0,0,0.2,-0.2,2,1,1,1,1,Matches
353,Shinji Okazaki\Shinji-Okazaki,jp JPN,FWMF,Leicester City,32,1986,3.2,75,99,75.8,919,207,1,5,20.0,70,84,83.3,4,10,40.0,1,0.3,+0.7,2,4,1,0,7,Matches
354,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,23,1995,4.1,77,115,67.0,1316,359,2,9,22.2,63,87,72.4,12,19,63.2,1,0.2,+0.8,3,5,4,2,9,Matches
355,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,30,1988,13.7,1156,1243,93.0,24413,6048,3,10,30.0,806,844,95.5,347,389,89.2,0,0.2,-0.2,2,80,2,0,54,Matches
356,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,24,1993,0.2,12,14,85.7,213,105,0,1,0.0,8,9,88.9,4,4,100.0,0,0.0,0.0,1,3,0,0,6,Matches
357,Mesut Özil\Mesut-Ozil,de GER,MFFW,Arsenal,29,1988,19.3,1028,1179,87.2,16606,4368,24,36,66.7,850,941,90.3,154,202,76.2,2,5.3,-3.3,46,101,51,11,147,Matches
358,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,23,1994,7.4,451,518,87.1,6364,1730,7,21,33.3,409,438,93.4,35,59,59.3,0,0.6,-0.6,4,22,14,3,37,Matches
359,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,30,1988,24.4,1215,1353,89.8,26636,7826,3,8,37.5,797,846,94.2,415,499,83.2,2,0.6,+1.4,4,33,4,0,40,Matches
360,Callum Paterson\Callum-Paterson,sco SCO,FWMF,Cardiff City,23,1994,22.2,281,584,48.1,4509,2059,5,37,13.5,241,449,53.7,35,98,35.7,1,2.0,-1.0,19,44,18,2,69,Matches
361,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,30,1988,37.0,493,835,59.0,19806,13496,0,0,,145,147,98.6,348,688,50.6,0,0.0,0.0,0,5,0,0,0,Matches
362,Pedro\Pedro,es ESP,FW,Chelsea,31,1987,19.8,950,1135,83.7,15008,3048,13,31,41.9,820,926,88.6,117,178,65.7,2,2.7,-0.7,27,50,30,8,77,Matches
363,Lee Peltier\Lee-Peltier,eng ENG,DF,Cardiff City,31,1986,17.2,279,442,63.1,5423,2500,7,17,41.2,203,276,73.6,69,149,46.3,0,0.0,0.0,2,21,2,1,62,Matches
364,Andreas Pereira\Andreas-Pereira,br BRA,MF,Manchester Utd,22,1996,6.7,297,360,82.5,5345,1658,10,17,58.8,224,256,87.5,63,87,72.4,1,0.7,+0.3,9,37,8,3,38,Matches
365,Ricardo Pereira\Ricardo-Pereira,pt POR,DFFW,Leicester City,24,1993,34.7,1495,1956,76.4,25059,9670,21,69,30.4,1266,1538,82.3,208,349,59.6,6,4.4,+1.6,31,109,31,6,224,Matches
366,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,27,1991,31.3,967,1187,81.5,16179,4456,22,64,34.4,788,910,86.6,157,213,73.7,1,3.3,-2.3,38,71,37,5,125,Matches
367,Ayoze Pérez\Ayoze-Perez,es ESP,FWMF,Newcastle Utd,25,1993,32.4,609,812,75.0,9229,2371,21,63,33.3,517,629,82.2,71,120,59.2,2,3.3,-1.3,38,46,25,4,68,Matches
368,Lucas Pérez\Lucas-Perez,es ESP,FW,West Ham,29,1988,5.3,102,148,68.9,1430,209,3,12,25.0,92,112,82.1,7,24,29.2,0,0.9,-0.9,8,4,4,0,5,Matches
369,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,24,1994,38.0,748,1250,59.8,28716,19158,1,1,100.0,295,301,98.0,452,948,47.7,0,0.1,-0.1,1,36,0,0,1,Matches
370,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,25,1993,33.4,1728,2115,81.7,33679,9741,21,57,36.8,1311,1507,87.0,396,551,71.9,9,5.1,+3.9,51,225,64,8,274,Matches
371,Alex Pritchard\Alex-Pritchard,eng ENG,MFFW,Huddersfield,25,1993,23.1,694,977,71.0,10901,2879,21,64,32.8,594,733,81.0,79,180,43.9,0,2.2,-2.2,34,60,28,7,90,Matches
372,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,31,1987,0.1,3,3,100.0,64,12,0,0,,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
373,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,26,1991,28.3,980,1252,78.3,19444,5003,18,46,39.1,720,864,83.3,242,342,70.8,1,1.0,0.0,19,122,21,3,130,Matches
374,Jason Puncheon\Jason-Puncheon,eng ENG,MF,Crystal Palace,32,1986,0.1,10,11,90.9,117,32,0,0,,10,11,90.9,0,0,,0,0.0,0.0,1,1,0,0,0,Matches
375,Jason Puncheon\Jason-Puncheon,eng ENG,MFFW,Huddersfield,32,1986,4.2,168,214,78.5,3108,1040,4,10,40.0,129,148,87.2,35,56,62.5,0,0.8,-0.8,5,14,5,0,28,Matches
376,Collin Quaner\Collin-Quaner,de GER,FWMF,Huddersfield,27,1991,0.4,13,17,76.5,168,45,1,2,50.0,11,14,78.6,1,1,100.0,0,0.1,-0.1,1,2,3,0,3,Matches
377,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,18,1999,3.8,198,232,85.3,3731,950,2,6,33.3,149,166,89.8,47,60,78.3,0,0.1,-0.1,1,25,3,1,19,Matches
378,Joe Ralls\Joe-Ralls,eng ENG,MF,Cardiff City,24,1993,21.8,568,863,65.8,12450,4760,9,29,31.0,391,490,79.8,168,344,48.8,0,2.0,-2.0,28,107,16,5,140,Matches
379,Aaron Ramsey\Aaron-Ramsey,wal WAL,MFFW,Arsenal,27,1990,14.8,647,790,81.9,11035,2577,11,38,28.9,527,612,86.1,109,140,77.9,6,2.4,+3.6,24,53,21,5,70,Matches
380,Kayne Ramsey\Kayne-Ramsey,eng ENG,DF,Southampton,17,2000,1.0,14,18,77.8,263,56,0,0,,10,11,90.9,4,7,57.1,0,0.0,0.0,0,0,0,0,0,Matches
381,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,20,1997,25.9,538,728,73.9,8159,2006,8,40,20.0,466,560,83.2,64,128,50.0,6,4.3,+1.7,38,32,24,3,75,Matches
382,Tim Ream\Tim-Ream,us USA,DF,Fulham,30,1987,22.7,910,1036,87.8,17923,6478,2,14,14.3,707,757,93.4,201,265,75.8,0,0.1,-0.1,2,48,2,0,70,Matches
383,Nathan Redmond\Nathan-Redmond,eng ENG,FWMF,Southampton,24,1994,36.3,877,1215,72.2,14892,3753,23,78,29.5,685,861,79.6,169,276,61.2,4,5.3,-1.3,55,62,61,22,111,Matches
384,Bobby Reid\Bobby-Reid,jm JAM,FWMF,Cardiff City,25,1993,15.8,237,330,71.8,3447,835,10,27,37.0,206,256,80.5,21,47,44.7,2,0.9,+1.1,14,15,6,1,20,Matches
385,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,19,1999,33.4,1364,1570,86.9,26601,5928,17,36,47.2,1002,1119,89.5,345,415,83.1,0,0.4,-0.4,9,127,5,0,85,Matches
386,Jazz Richards\Jazz-Richards,wal WAL,DFMF,Cardiff City,27,1991,1.5,25,35,71.4,394,174,0,0,,22,28,78.6,3,7,42.9,0,0.0,0.0,0,2,0,0,2,Matches
387,Richarlison\Richarlison,br BRA,FWMF,Everton,21,1997,29.6,546,837,65.2,8739,1987,16,75,21.3,452,623,72.6,78,139,56.1,1,1.5,-0.5,17,39,25,3,76,Matches
388,Diego Rico\Diego-Rico,es ESP,DFMF,Bournemouth,25,1993,6.8,259,382,67.8,4716,2356,3,13,23.1,208,265,78.5,48,104,46.2,0,1.2,-1.2,11,22,7,5,67,Matches
389,Sergio Rico\Sergio-Rico,es ESP,GK,Fulham,24,1993,29.0,519,891,58.2,21633,17650,1,1,100.0,179,181,98.9,339,709,47.8,0,0.2,-0.2,2,12,1,0,0,Matches
390,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,28,1989,32.5,1036,1580,65.6,20299,8289,14,86,16.3,782,959,81.5,240,535,44.9,8,4.5,+3.5,53,63,46,28,216,Matches
391,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,24,1994,35.7,2283,2797,81.6,41485,15333,10,54,18.5,1861,2085,89.3,412,658,62.6,11,6.6,+4.4,52,159,72,18,321,Matches
392,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,28,1990,2.4,99,137,72.3,1869,830,0,4,0.0,77,88,87.5,22,45,48.9,0,0.0,0.0,0,11,1,0,9,Matches
393,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,26,1991,23.7,898,1116,80.5,16595,5119,14,36,38.9,710,819,86.7,174,261,66.7,0,0.3,-0.3,7,121,10,2,130,Matches
394,Salomón Rondón\Salomon-Rondon,ve VEN,FW,Newcastle Utd,28,1989,28.9,538,772,69.7,7637,1552,21,53,39.6,454,619,73.3,63,100,63.0,7,3.3,+3.7,30,42,22,3,55,Matches
395,Danny Rose\Danny-Rose,eng ENG,DFMF,Tottenham,28,1990,20.0,869,1173,74.1,15202,5536,10,47,21.3,722,858,84.1,137,268,51.1,3,1.9,+1.1,26,58,34,16,130,Matches
396,Aaron Rowe\Aaron-Rowe,eng ENG,FW,Huddersfield,17,2000,0.8,13,17,76.5,191,90,1,1,100.0,10,12,83.3,2,4,50.0,0,0.0,0.0,0,0,0,0,1,Matches
397,John Ruddy\John-Ruddy,eng ENG,GK,Wolves,31,1986,1.0,15,21,71.4,593,437,0,0,,5,5,100.0,10,16,62.5,0,0.0,0.0,0,0,0,0,0,Matches
398,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,25,1993,31.9,2310,2528,91.4,48449,15729,32,40,80.0,1617,1704,94.9,661,784,84.3,0,0.4,-0.4,5,177,10,0,149,Matches
399,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,26,1992,34.0,551,1017,54.2,25422,19509,1,2,50.0,118,122,96.7,432,893,48.4,0,0.0,0.0,0,38,0,0,0,Matches
400,Abdelhamid Sabiri\Abdelhamid-Sabiri,de GER,FW,Huddersfield,21,1996,0.5,8,10,80.0,109,13,0,0,,7,9,77.8,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
401,Romain Saïss\Romain-Saiss,ma MAR,MFDF,Wolves,28,1990,12.8,553,706,78.3,12205,3854,2,19,10.5,367,432,85.0,184,255,72.2,0,0.3,-0.3,3,60,5,2,59,Matches
402,Bukayo Saka\Bukayo-Saka,eng ENG,FW,Arsenal,16,2001,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
403,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,28,1990,26.8,1135,1285,88.3,22516,10185,4,9,44.4,839,906,92.6,292,370,78.9,0,0.5,-0.5,7,81,3,0,100,Matches
404,Bakary Sako\Bakary-Sako,ml MLI,FWMF,Crystal Palace,30,1988,0.3,9,13,69.2,175,10,0,0,,8,9,88.9,1,4,25.0,0,0.0,0.0,0,1,0,0,0,Matches
405,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,26,1992,36.1,864,1150,75.1,12874,3831,19,58,32.8,746,916,81.4,99,176,56.3,8,9.1,-1.1,68,58,74,7,158,Matches
406,Alexis Sánchez\Alexis-Sanchez,cl CHI,FWMF,Manchester Utd,29,1988,9.8,292,409,71.4,5023,1544,5,16,31.3,226,293,77.1,61,100,61.0,3,3.2,-0.2,20,25,26,5,51,Matches
