,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,
Squad,# Pl,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err
Arsenal,29,586,362,315,194,77,199,581,34.3,382,6026,1609,26.7,2194,2616,1216,589,148,2,441,327,953,12
Aston Villa,28,592,382,332,189,71,187,598,31.3,411,5710,1567,27.4,2090,2434,1186,710,208,4,502,422,969,28
Bournemouth,27,541,337,275,209,57,178,564,31.6,386,6633,1740,26.2,2178,2907,1548,683,172,3,511,466,1120,14
Brighton,25,653,404,332,236,85,214,639,33.5,425,5716,1722,30.1,1980,2385,1351,617,159,4,458,400,895,16
Burnley,22,561,327,253,230,78,199,603,33.0,404,5700,1450,25.4,1748,2498,1454,693,183,3,510,367,1222,5
Chelsea,27,694,430,329,276,89,213,595,35.8,382,5855,1808,30.9,1710,2669,1476,547,99,2,448,434,871,9
Crystal Palace,25,710,417,383,256,71,249,652,38.2,403,6122,1657,27.1,2374,2602,1146,661,151,3,510,435,989,13
Everton,24,716,408,358,261,97,240,720,33.3,480,5926,1598,27.0,2002,2593,1331,571,126,1,445,404,1005,10
Leicester City,24,753,458,365,298,90,276,773,35.7,497,6247,1938,31.0,2051,2825,1371,586,106,2,480,406,996,12
Liverpool,24,577,358,218,242,117,207,587,35.3,380,5404,1727,32.0,1442,2250,1712,462,75,2,387,337,838,10
Manchester City,24,555,353,223,224,108,226,630,35.9,404,4909,1550,31.6,1172,2121,1616,435,74,3,361,345,649,18
Manchester Utd,29,586,344,280,229,77,199,603,33.0,404,5636,1576,28.0,1802,2524,1310,584,106,0,478,350,856,7
Newcastle Utd,27,641,378,394,187,60,202,580,34.8,378,5849,1490,25.5,2516,2345,988,619,169,5,450,376,1101,11
Norwich City,28,702,424,408,217,77,248,747,33.2,499,6348,1755,27.6,2599,2568,1181,695,186,5,509,377,1010,14
Sheffield Utd,26,637,383,331,223,83,207,619,33.4,412,6168,1718,27.9,2057,2620,1491,602,119,2,483,410,1204,12
Southampton,25,778,471,369,303,106,287,847,33.9,560,6739,2073,30.8,2161,2898,1680,683,145,0,538,394,1263,18
Tottenham,29,677,425,336,282,59,210,676,31.1,466,6054,1697,28.0,2223,2666,1165,644,166,2,478,345,1049,11
Watford,26,672,421,347,242,83,228,742,30.7,514,6616,1800,27.2,2280,2898,1438,610,150,5,460,395,1086,11
West Ham,29,679,445,372,243,64,222,738,30.1,516,6233,1720,27.6,2314,2709,1210,610,121,1,489,398,890,11
Wolves,20,690,408,386,241,63,259,718,36.1,459,6092,1667,27.4,2320,2733,1039,588,125,1,463,417,940,12